"Horodateur","subject number","Interface","How mentally demanding was the test?","How physically demanding was the test?","How hurried or rushed was the pace of the task?","How successful were you in accomplishing what you were asked to do?","How insecure, discouraged, irritated, stresses, and annoyed were you?"
"2019/08/13 9:56:50 AM UTC+2","2","Motion","2","2","1","4","1"
"2019/08/13 10:10:03 AM UTC+2","2","Remote","1","1","1","2","1"
"2019/08/13 10:47:59 AM UTC+2","3","Motion","3","2","1","4","2"
"2019/08/13 11:38:17 AM UTC+2","4","Motion","1","2","3","2","1"
"2019/08/13 11:55:37 AM UTC+2","4","Remote","2","2","4","2","1"
"2019/08/13 2:35:46 PM UTC+2","5","Motion","4","1","1","3","1"
"2019/08/13 2:47:57 PM UTC+2","5","Remote","3","1","1","2","4"
"2019/08/13 3:22:20 PM UTC+2","6","Remote","2","1","1","1","1"
"2019/08/13 3:45:46 PM UTC+2","6","Motion","2","1","1","3","1"
"2019/08/13 4:58:04 PM UTC+2","7","Remote","3","1","1","3","1"
"2019/08/13 5:12:45 PM UTC+2","7","Motion","3","1","1","3","1"
"2019/08/13 6:24:48 PM UTC+2","8","Motion","1","1","1","4","1"
"2019/08/13 6:35:01 PM UTC+2","8","Remote","2","1","1","3","3"
"2019/08/22 4:28:44 PM UTC+2","102","Motion","4","2","2","4","3"
"2019/08/22 4:36:57 PM UTC+2","102","Motion","2","2","2","4","2"
"2019/08/22 5:00:03 PM UTC+2","102","Remote","3","2","2","3","3"
"2019/08/22 5:23:50 PM UTC+2","103","Remote","5","1","2","3","2"
"2019/08/22 5:57:06 PM UTC+2","103","Motion","2","1","1","4","1"
"2019/08/28 1:28:10 PM UTC+2","9","Motion","3","1","1","3","1"
"2019/08/28 1:36:29 PM UTC+2","9","Remote","2","1","1","3","1"
"2019/08/28 3:22:28 PM UTC+2","10","Remote","2","1","2","3","2"
"2019/08/28 3:46:39 PM UTC+2","10","Motion","2","2","3","3","1"
