"Horodateur","subject number","Interface","How mentally demanding was the test?","How physically demanding was the test?","How hurried or rushed was the pace of the task?","How successful were you in accomplishing what you were asked to do?","How insecure, discouraged, irritated, stresses, and annoyed were you?"
"2019/08/13 8:22:53 AM UTC+2","1","Motion","1","1","1","4","1"
"2019/08/13 9:43:13 AM UTC+2","2","Motion","1","2","1","5","1"
"2019/08/13 10:01:11 AM UTC+2","2","Remote","1","1","1","3","1"
"2019/08/13 10:06:18 AM UTC+2","2","Remote","1","1","1","3","1"
"2019/08/13 10:14:50 AM UTC+2","3","Remote","3","2","2","3","2"
"2019/08/13 10:33:10 AM UTC+2","3","Motion","2","1","1","5","2"
"2019/08/13 10:34:10 AM UTC+2","3","Motion","2","1","1","5","2"
"2019/08/13 11:29:53 AM UTC+2","4","Motion","4","4","3","5","1"
"2019/08/13 11:43:52 AM UTC+2","4","Remote","2","2","1","3","1"
"2019/08/13 2:25:34 PM UTC+2","5","Motion","3","1","1","4","1"
"2019/08/13 2:39:52 PM UTC+2","5","Remote","4","1","1","3","4"
"2019/08/13 3:12:24 PM UTC+2","6","Remote","1","1","1","3","1"
"2019/08/13 3:28:27 PM UTC+2","6","Motion","1","2","1","4","1"
"2019/08/13 3:35:27 PM UTC+2","6","Motion","1","2","1","4","1"
"2019/08/13 4:48:23 PM UTC+2","7","Remote","2","1","1","3","1"
"2019/08/13 5:04:32 PM UTC+2","7","Motion","2","2","1","4","1"
"2019/08/13 6:23:48 PM UTC+2","7","Motion","2","2","1","4","1"
"2019/08/13 6:24:14 PM UTC+2","8","Motion","1","1","1","4","1"
"2019/08/13 6:34:22 PM UTC+2","8","Remote","2","1","1","3","1"
"2019/08/22 2:31:07 PM UTC+2","101","Remote","3","2","1","3","2"
"2019/08/22 4:21:45 PM UTC+2","101","Remote","3","2","1","3","2"
"2019/08/22 4:22:24 PM UTC+2","102","Motion","3","2","1","3","2"
"2019/08/22 4:47:01 PM UTC+2","102","Remote","3","1","2","3","3"
"2019/08/22 5:18:44 PM UTC+2","103","Remote","4","1","1","3","2"
"2019/08/22 5:42:46 PM UTC+2","103","Motion","2","1","1","4","1"
"2019/08/22 6:38:55 PM UTC+2","100","Remote","1","1","1","3","1"
"2019/08/22 6:39:37 PM UTC+2","100","Motion","1","2","1","4","1"
"2019/08/24 12:11:40 AM UTC+2","100","Motion","1","2","1","4","1"
"2019/08/28 1:08:57 PM UTC+2","9","Motion","1","1","1","4","1"
"2019/08/28 1:31:19 PM UTC+2","9","Remote","3","1","1","2","1"
"2019/08/28 3:15:44 PM UTC+2","10","Remote","2","1","2","2","2"
"2019/08/28 3:33:00 PM UTC+2","10","Motion","2","3","4","4","1"
